Name,Salary (€),Appearance,Goals,Assists,Shots on Target,Passes per game,Tackle per game
Kevin De Bruyne,599551,33,11,19,28,54,3
Raheem Sterling,568197,31,17,2,32,36,2
Paul Pogba,552994,14,1,4,8,65,2
Mesut Ozil,520333,18,1,3,3,47,2
Anthony Martial,491082,30,17,6,38,23,1
Sergio Aguero,459608,24,16,4,27,15,1
Mohamed Salah,410796,32,19,10,58,29,1
Marcus Rashford,410796,29,17,8,42,31,1
Harry Kane,410796,28,17,3,36,20,1
